Cell_types,Trans_efficiency_class,Transfection_efficiency,Particle_size,Zeta_potential,Functional_modification,Simuli_response,tumor_cell,immune_cell,other_cell,catagory_1,catagory_2,catagory_3,catagory_4
4-cell embryos (other cell),3,0.65,30,-32,0,0,0,0,1,0,1,0,0
U-87 MG-GFP cells (tumor cell),3,0.7,13,25,1,1,1,0,0,0,0,0,1
BHK cells (other cell),3,0.9,80,2.4,0,0,0,0,1,1,0,0,0
Hep3B cells (tumor cell),3,0.6,144,22,1,0,1,0,0,0,0,0,1
KP cells (tumor cell),3,0.9,115,-35,1,0,1,0,0,0,0,0,1
L929 cells (other cell),1,0.1,124,16,0,0,0,0,1,0,1,0,0
Hepa1-6 cells (tumor cell),3,0.8,176,-11,0,0,1,0,0,0,1,0,0
NIH 3T3-GFP cells (other cell),3,0.8,78.2,14.9,0,0,0,0,1,0,1,0,0
HeLa cells (tumor cell),2,0.5,120,25,0,1,1,0,0,0,1,0,0
Huh7 cells (tumor cell),3,0.69,390,16.4,1,0,1,0,0,0,1,0,0
DC (immune cell),3,0.7,606.45,12.2,0,0,0,1,0,0,1,0,0
HeLa cells (tumor cell),1,0.39,40,-30,0,0,1,0,0,0,0,0,1
CHO-GFP (other cell),3,0.92,250,18,0,0,0,0,1,0,0,0,1
HeLa cells (tumor cell),2,0.41,122,11.1,0,0,1,0,0,0,1,0,0
E.G7-OVA/GFP cells (tumor cell),1,0.3,140,2.5,0,0,1,0,0,0,1,0,0
BHK cells (other cell),3,0.6,85,27,0,0,0,0,1,1,0,0,0
ARPE-19 cells (other cell),3,0.7,349.2,18.5,0,0,0,0,1,1,0,0,0
DC (immune cell),2,0.4,169,25.5,0,0,0,1,0,1,0,0,0
HeLa cells (tumor cell),3,0.7,81,2.07,0,0,1,0,0,1,0,0,0
HEK293T cells (other cell),2,0.5,60,-5,0,0,0,0,1,0,0,1,0
ARPE-19 cells (other cell),3,0.65,246.8,37.2,0,0,0,0,1,1,0,0,0
HeLa-Luc cells (tumor cell),1,0.05,112,-0.96,0,1,1,0,0,1,0,0,0
HeLa-Luc cells (tumor cell),3,0.67,125.1,-1.5,0,0,1,0,0,1,0,0,0
C4-2B prostate cells (tumor cell),2,0.5,200,-12,0,0,1,0,0,0,0,0,1
MCF-7 cells (tumor cell),1,0.1,13,14.6,0,0,1,0,0,0,0,0,1
HepG2 cells (tumor cell) ,3,0.95,39.2,19.8,0,0,1,0,0,1,0,0,0
L929 cells (other cell),1,0.18,166,14,0,0,0,0,1,0,1,0,0
NIH 3T3 cells (other cell),2,0.5,6.7,10,0,0,0,0,1,0,1,0,0
HeLa-Luc cells (tumor cell),3,0.62,92.8,-1.5,0,0,1,0,0,1,0,0,0
U87-Luc cells (tumor cell),1,0.1,95,25,0,0,1,0,0,1,0,0,0
HeLa cells (tumor cell),1,0.33,190,18,0,0,1,0,0,0,1,0,0
Hela-GFP cells (tumor cell),3,0.6,210,40,0,0,1,0,0,1,0,0,0
HeLa cells (tumor cell),2,0.53,200,55.5,0,0,1,0,0,0,0,0,1
MDA-MB-231 cells (tumor cell),1,0.2,93,-14,0,0,1,0,0,0,1,0,0
