Cell_types,Trans_efficiency_class,Transfection_efficiency,Particle_size,Zeta_potential,Functional_modification,Simuli_response,tumor_cell,immune_cell,other_cell,catagory_1,catagory_2,catagory_3,catagory_4
MDA-MB-231 cells (tumor cell),2,0.52,92,34.7,1,1,1,0,0,0,1,0,0
L929 cells (other cell),1,0.31,250,5,0,1,0,0,1,0,1,0,0
BHK-21 cells (other cell),1,0.05,464.8,51.1,0,0,0,0,1,1,0,0,0
HeLa cells (tumor cell),3,0.75,150,0.65,0,0,1,0,0,1,0,0,0
HeLa-Luc cells (tumor cell),3,0.7,84.3,-1.5,0,0,1,0,0,1,0,0,0
MDA-MB-435s-GFP cells (tumor cell),1,0.2,50.7,40.7,0,0,1,0,0,0,1,0,0
A3.01 cells (tumor cell),2,0.4,319.2,16.1,0,0,1,0,0,0,1,0,0
S2 cells (other cell),3,0.7,150,-45,0,0,0,0,1,0,1,0,0
DC2.4 cells (immune cell),2,0.57,220.1,37.3,1,0,0,1,0,0,1,0,0
PC-3 cells (tumor cell),3,0.7,66,22.3,0,0,1,0,0,1,0,0,0
 HeLa cells (tumor cell),2,0.55,151.8,10,0,0,1,0,0,0,1,0,0
Huh 7.5.1-HCV cells (tumor cell),2,0.52,118,40.6,0,0,1,0,0,1,0,0,0
B16F10-luc cells (tumor cell),3,0.8,100,30,1,0,1,0,0,0,1,0,0
DC2.4 cells (immune cell),1,0.26,250,41,0,1,0,1,0,1,0,0,0
Vero cells (other cell),1,0.05,616.9,-21.8,0,0,0,0,1,1,0,0,0
DMS53 cells (tumor cell),3,0.9,10,15,0,0,1,0,0,0,1,0,0
HeLa cells (tumor cell),1,0.28,95.1,6.48,0,0,1,0,0,0,1,0,0
NIH 3T3-GFP cells (other cell),3,0.6,190.1,20.7,0,0,0,0,1,0,1,0,0
HeLa-Luc cells (tumor cell),1,0.35,100,15,0,0,1,0,0,1,0,0,0
MCF-7 cells (tumor cell),3,0.72,52.4,-7.9,1,1,1,0,0,0,0,1,0
HeLa cells (tumor cell),3,0.7,111,1.5,0,0,1,0,0,1,0,0,0
MDA-MB-231-GFP cells (tumor cell),3,0.6,40,47,0,1,1,0,0,0,1,0,0
KB cells (tumor cell),1,0.25,230,16.5,0,0,1,0,0,1,0,0,0
HeLa cells (tumor cell),1,0.05,62,33.6,0,0,1,0,0,1,0,0,0
HeLa cells (tumor cell),2,0.58,120,25,0,1,1,0,0,0,1,0,0
human skin explants (other cell),1,0.29,130,30,0,0,0,0,1,0,1,0,0
B16F10-luc cells (tumor cell),1,0.35,220,37,0,0,1,0,0,0,1,0,0
pulmonary endothelium cells (other cell),3,0.67,100.9,27.6,0,0,0,0,1,0,1,0,0
HeLa-Luc cells (tumor cell),3,0.71,201.6,-1.5,0,0,1,0,0,1,0,0,0
HeLa cells (tumor cell),2,0.54,146,1.01,0,0,1,0,0,0,1,0,0
HEK 293T cells (other cell),1,0.2,149,-36.7,0,0,0,0,1,0,0,0,1
BHK-21 cells (other cell),1,0.08,656.7,55.4,0,0,0,0,1,1,0,0,0
PANC-1 Cells (tumor cell),3,0.74,78.82,32.89,0,0,1,0,0,0,1,0,0
HeLa cells (tumor cells),1,0.2,38.9,23.3,0,1,1,0,0,0,0,0,1
B16 cells (tumor cell),3,0.6,135,25,0,0,1,0,0,1,0,0,0
HeLa cells (tumor cell),3,0.6,120.5,13.9,1,0,1,0,0,0,1,0,0
U87GBM cells (tumor cell),3,0.78,41,-2.5,1,0,1,0,0,0,0,0,1
U-87 MG Cells (tumor cell),3,0.8,320,24,0,0,1,0,0,0,1,0,0
MCF-7/ADR cells (tumor cell),3,0.8,7.2,-50,0,1,1,0,0,0,0,0,1
BHK cells (other cell),3,0.85,92,2.7,0,0,0,0,1,1,0,0,0
BHK-21 cells (other cell),1,0.04,819.3,62.9,0,0,0,0,1,1,0,0,0
3T3 cells (other cell),2,0.55,140,28.2,0,0,0,0,1,0,1,0,0
LS174T cells (tumor cell),2,0.55,86,18,0,0,1,0,0,0,1,0,0
SKOV3-luc cells (tumor cell) ,3,0.8,62.85,38,1,0,1,0,0,0,1,0,0
Neuro-2A-Luc cells (tumor cell),1,0.2,91.7,40.8,0,0,1,0,0,0,1,0,0
HSC-3 cells (tumor cell),1,0.38,286,37.4,0,0,1,0,0,0,1,0,0
DC (immune cell),1,0.21,152,36.5,0,0,0,1,0,1,0,0,0
HeLa cells (tumor cell),3,0.6,100,57,0,0,1,0,0,0,1,0,0
HeLa-Luc cells (tumor cell),1,0.25,72,-0.98,0,1,1,0,0,1,0,0,0
MDA-MB-231-GFP cells (tumor cell),2,0.45,38,50,0,1,1,0,0,0,1,0,0
T98G cells (tumor cell),3,0.63,145.9,-43,0,0,1,0,0,0,0,0,1
plant cells (other cell),3,0.95,776.6,-50,0,0,0,0,1,0,0,0,1
Huh-7 cells (tumor cell),3,0.8,180,12,0,0,1,0,0,0,1,0,0
U-87 MG Cells (tumor cell),3,0.82,380,24,0,0,1,0,0,0,1,0,0
HSC-3 cells (tumor cell),1,0.2,280,5.6,1,0,1,0,0,0,1,0,0
293Td2GFP cells (other cell),2,0.5,200,30,0,0,0,0,1,0,0,1,0
HeLa cells (other cell),3,0.7,8,-25.1,0,0,0,0,1,0,0,0,1
 Hek293 cells (other cell),2,0.42,52,15,0,0,0,0,1,0,1,0,0
MCF-7 cells (tumor cell),3,0.6,52.4,-8.5,0,1,1,0,0,0,0,1,0
HeLa-Luc cells (tumor cell),3,0.6,100,22,0,0,1,0,0,1,0,0,0
Huh7 cells (tumor cell),3,0.85,190,25.9,1,0,1,0,0,0,1,0,0
