Cell_types,Trans_efficiency_class,Transfection_efficiency,Particle_size,Zeta_potential,Functional_modification,Simuli_response,tumor_cell,immune_cell,other_cell,catagory_1,catagory_2,catagory_3,catagory_4
HeLa cells (tumor cell),3,0.75,290,17.2,1,0,1,0,0,0,0,1,0
 MDA-MB-231 cells (tumor cell),2,0.4,25,16,0,1,1,0,0,0,1,0,0
BHK-21 cells (other cell),1,0.03,484.5,49,0,0,0,0,1,1,0,0,0
HepG2 cells (tumor cell),3,0.8,197.7,27.6,1,0,1,0,0,0,1,0,0
DC (immune cell),3,0.6,154,24.6,0,0,0,1,0,1,0,0,0
HeLa cells (tumor cell),2,0.4,90,-25,0,0,1,0,0,0,0,0,1
HEK-GFP cells (other cell),1,0.35,138.5,18.7,0,0,0,0,1,1,0,0,0
 bEnd.3 endothelial cells (other cell),3,0.8,67,-10.7,0,0,0,0,1,0,1,0,0
HeLa-Luc cells (tumor cell),1,0,98,-1.91,0,0,1,0,0,1,0,0,0
DC (immune cell),1,0.32,184,34,1,0,0,1,0,1,0,0,0
U-87 MG-GFP cells (tumor cell),3,0.85,32.8,18,1,1,1,0,0,0,0,0,1
HepG2 cells (tumor cell) ,3,0.8,150,12.9,1,0,1,0,0,0,0,0,1
PC-3 cells (tumor cell),1,0.36,266.3,21.4,0,0,1,0,0,1,0,0,0
HeLa cells (tumor cell),1,0.3,90,45,0,0,1,0,0,0,1,0,0
A549 cells (tumor cell),3,0.91,150,26,1,0,1,0,0,0,1,0,0
 A549 EGFP cells (tumor cell),3,0.6,50,12,0,1,1,0,0,0,0,0,1
HeLa cells (tumor cell),1,0.2,207.7,15.5,0,0,1,0,0,0,1,0,0
HeLa cells (tumor cell),3,0.6,64,32.3,0,0,1,0,0,1,0,0,0
Hela-GFP cells (tumor cell),1,0.31,200,-6.94,0,0,1,0,0,0,0,0,1
U266 cells (tumor cell),3,0.9,55,7.5,0,0,1,0,0,1,0,0,0
 A549 cells (tumor cells),3,0.95,84,28.2,0,0,1,0,0,0,1,0,0
HeLa-Luc cells (tumor cell),3,0.89,84.7,-1.5,0,0,1,0,0,1,0,0,0
MDA-MB-231 cells (tumor cell),2,0.41,91,-14.7,0,1,1,0,0,0,1,0,0
B16F10 cell (tumor cell),2,0.55,90,11.7,0,1,1,0,0,0,1,0,0
293T-GFP cells (other cell),3,0.81,275,38,0,0,0,0,1,1,0,0,0
 bEnd.3 endothelial cells (other cell),3,0.85,74,10.4,0,0,0,0,1,0,1,0,0
HeLa-Luc cells (tumor cell),3,0.84,89.7,-1.5,0,0,1,0,0,1,0,0,0
Neuro-2A-Luc cells (tumor cell),3,0.72,71.1,60.9,1,0,1,0,0,1,0,0,0
HEK293T cells (other cell),3,0.8,80,11.3,0,0,0,0,1,1,0,0,0
PC12 cells (other cell),3,0.7,180,12.9,0,0,0,0,1,0,1,0,0
SiHa-GFP cells (tumor cell),3,0.98,160,15.6,0,1,1,0,0,1,0,0,0
HeLa-Luc cells (tumor cell),3,0.77,248.3,-1.5,0,0,1,0,0,1,0,0,0
OVCAR8/ADR cells (tumor cell),2,0.58,104,17,0,0,1,0,0,1,0,0,0
U87-Luc cells (tumor cell),1,0.05,90,24,0,0,1,0,0,1,0,0,0
BHK cells (other cell),1,0.05,102,1.5,0,0,0,0,1,1,0,0,0
L929 cells (other cell),1,0.25,135,15,0,1,0,0,1,0,1,0,0
B16F10 cells (tumor cell),3,0.9,188.1,25,0,0,1,0,0,1,0,0,0
