Cell_types,Trans_efficiency_class,Transfection_efficiency,Particle_size,Zeta_potential,Functional_modification,Simuli_response,tumor_cell,immune_cell,other_cell,catagory_1,catagory_2,catagory_3,catagory_4
P53-null Hep3B liver cancer cells (tumor cell),3,0.9,125,2.6,0,1,1,0,0,1,0,0,0
BMDCs (immune cell),3,0.8,155,0.03,0,0,0,1,0,1,0,0,0
HepG2-Luc cells (tumor cell),2,0.55,170,13.8,0,0,1,0,0,1,0,0,0
Huh 7.5.1-HCV cells (tumor cell),3,0.8,125.5,39.1,0,0,1,0,0,1,0,0,0
HeLa cells (tumor cell),2,0.54,170.9,5.44,0,0,1,0,0,0,1,0,0
ARPE-19 cells (other cell),3,0.85,261.7,23.1,0,0,0,0,1,1,0,0,0
CT26 cells (tumor cell),1,0.02,115,30,0,0,1,0,0,0,1,0,0
BHK cells (other cell),2,0.45,196,43,0,0,0,0,1,1,0,0,0
HuH-7 cells (tumor cell),3,1,24.2,-24.6,0,0,1,0,0,0,1,0,0
HeLa cells (tumor cell),3,0.72,225,-1.5,0,0,1,0,0,1,0,0,0
T22 cells (tumor cell),2,0.5,250,40,0,0,1,0,0,0,0,1,0
SKOV3 ovarian cancer cells (tumor cell),3,0.8,30.1,21.8,1,1,1,0,0,0,1,0,0
 HepG2 cells (tumor cell),1,0.2,400,18,0,0,1,0,0,1,0,0,0
HeLa cells (tumor cells),3,0.9,200,18,0,1,1,0,0,0,0,0,1
DC2.4 cells (immune cell),1,0.05,237.8,34.8,1,0,0,1,0,0,1,0,0
B16F10-luc cells (tumor cell),1,0.25,250,40,0,0,1,0,0,0,1,0,0
SKOV-3 cells (tumor cell),2,0.5,85,32,0,0,1,0,0,0,1,0,0
DC (immune cell),1,0.22,178,19,1,0,0,1,0,1,0,0,0
U-118 MG cells (tumor cell),1,0.35,150,-12,0,0,1,0,0,0,0,0,1
A3.01 cells (tumor cell),3,0.65,311.9,17.4,1,0,1,0,0,0,1,0,0
DC (immune cell),2,0.4,137,17,0,0,0,1,0,1,0,0,0
B16F10-luc cells (tumor cell),3,0.74,120,34,1,0,1,0,0,0,1,0,0
HeLa-Luc cells (tumor cell),1,0.15,75,-0.88,0,0,1,0,0,1,0,0,0
HeLa-Luc cells (tumor cell),3,0.75,160,3.5,0,0,1,0,0,1,0,0,0
